created_at,text,media_type,media_url,views_count,quote_count,like_count,reply_count,retweet_count,content_type,sentiment_score,sentiment_label
Sat Jun 07 17:52:26 +0000 2025,"I took my fiancé on dates ranging from $1 all the way up to $500,000 in the new video! Madison Beer even went on a date with Nolan 😭 https://t.co/Rj1i4lzo0u",photo,https://pbs.twimg.com/media/Gs2-Lt0WcAAHNRc.jpg,3197668,272,54759,1940,1320,Challenges / IRL,-0.5255,Negative
Mon Jun 02 22:35:24 +0000 2025,"Want a tour of the city for Beast Games season 2 and all the massive sets we’re building?? I’m going to personally show around people that donate  $100,000 to Beast Philanthropy! I have some big charity projects I want to fund so I think it’s a win/win ❤️

https://t.co/MHJ9sTef2d",,,1063495,61,11333,1587,747,Gaming,0.6189,Positive
Sun Jun 02 00:09:30 +0000 2024,After 6 years we have finally avenged Pewdiepie 🥹 https://t.co/V1znbyqw27,photo,https://pbs.twimg.com/media/GPBupspWIAA265a.jpg,45918967,6220,865673,15722,54799,Challenges / IRL,0.0,Neutral
Sun Jun 01 16:24:21 +0000 2025,"400,000,000 subscribers! A decade ago before I blew up everyone in my life told me I was to obsessed and constantly told I’d never make it. Despite that I was in love with making content and grinded every moment my eyes were open for 7 years before anyone started watching. I… https://t.co/GkAhG8o2rj",photo,https://pbs.twimg.com/media/GsXweqkacAAC3D3.jpg,6754548,1020,133728,7158,7125,Challenges / IRL,0.5848,Positive
Thu May 29 22:28:24 +0000 2025,"Stop asking, I’m not buying you guys her bath water. https://t.co/VfTUqp4iSK",photo,https://pbs.twimg.com/media/GsJnCUeXcAAP-r7.jpg,7581815,294,103378,3032,2866,Challenges / IRL,-0.296,Negative
Mon May 26 19:11:06 +0000 2025,Imagine reading this headline to someone in medieval times,,,3998767,100,38910,2264,1016,Challenges / IRL,0.0,Neutral
Sun May 25 16:51:39 +0000 2025,People on Tik Tok asked me to be more hood so I did and it became my most liked tik tok ever so here I am again. Idk what’s going on https://t.co/EiKTF8MwXp,photo,https://pbs.twimg.com/media/GrzzklpXMAAvjQr.jpg,23913787,4260,190130,5137,7243,Challenges / IRL,0.4005,Positive
Sat May 24 16:56:05 +0000 2025,Pro Athletes vs Average Joes is now live! The amount of superstars we got is insane 🥰 https://t.co/QA50zqt2Z8,photo,https://pbs.twimg.com/media/Gruq2pLWEAEe24c.jpg,1827017,88,17183,899,719,Gaming,0.7088,Positive
Fri May 23 17:21:38 +0000 2025,"World class athletes vs average people goes up tomorrow, this video will blow your mind :D https://t.co/Ggx6UNqEAJ",photo,https://pbs.twimg.com/media/GrpnSX1XcAA_COp.jpg,10838739,808,85159,2722,3197,Challenges / IRL,0.6166,Positive
Tue May 20 18:18:18 +0000 2025,Uploaded a MrBeast 2 video showing how we built all our deadly traps! Our videos have gotten so big that people think they’re fake lol. So a big goal for me this year has been behind the scenes so you can see all the effort we put into keep them real :D https://t.co/u3FpcSnAAM,photo,https://pbs.twimg.com/media/GraXe35WgAAGHRp.jpg,852045,34,10833,931,621,Memes,0.6155,Positive
Tue May 20 17:32:37 +0000 2025,"When I search Feastables on Target I get this Hershey ad that conveniently uses our Feastables blue color.. 

They also buy pre roll ads on my YouTube channel and Beast Games. Stop harassing my fans Hershey, they don’t want you 😭 https://t.co/GXUfL3fOYu",photo,https://pbs.twimg.com/media/GraM-vkXcAA7tzx.jpg,1671856,130,17538,1952,724,Gaming,-0.8176,Negative
Mon May 12 23:18:02 +0000 2025,Prime video has renewed Beast Games for not one but TWO MORE SEASONS!! Y’ALL ARE NOT READY FOR THE BIG STUFF WE HAVE PLANNED 🥰🥰🥰 https://t.co/oc5hWKBEnq,photo,https://pbs.twimg.com/media/GqyPXmoXMAAXGdM.jpg,3858946,429,62562,3876,3109,Gaming,0.9848,Positive
Mon May 12 00:14:23 +0000 2025,I remember when videos used to get 37 views in a day not 37 million. I appreciate everyone that watches the videos and just know I would personally thank each of you if it was physically possible ❤️ https://t.co/EPXf2v070A,photo,https://pbs.twimg.com/media/GqtSrXBbMAA7a18.jpg,4190971,227,96513,3582,3627,Challenges / IRL,0.6369,Positive
Sat May 10 16:25:20 +0000 2025,"We explored dozens of 2,000 year old ancient temples in the new video to see what’s inside. One of my favorite vids :D https://t.co/hP89wAzz7r",photo,https://pbs.twimg.com/media/GqmdumXbEAAJOSt.jpg,7886677,633,52233,2529,2175,Challenges / IRL,0.7925,Positive
